"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Gloucestershire","South West","2015-06-01","Jun",2015,"Q2_2015",0,21.6,14.3,0,0,5.9,20,0,4,21.1,6.3,9.4,100
"GreaterManchester","North West","2015-06-01","Jun",2015,"Q2_2015",33.3,23.6,37.2,9.8,11.8,7.6,17.2,8.9,6.1,12.5,9.7,20.2,100
"Gwent","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",25,18.5,33.3,12.5,14.3,9.4,0,11.1,1.9,8.8,10,8.2,100
"Hampshire","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",0,22,29.6,9.7,10.7,9.6,11.8,18.3,4.8,14.3,4,12.1,100
"Hertfordshire","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",0,28.2,14.3,12.1,11.1,11.2,13,19.2,4.4,17.5,18.9,17.8,100
"Humberside","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",0,14.5,33.3,14.8,0,9,8.3,10.5,7.7,9.4,21.1,14.3,100
"Kent","South East","2015-06-01","Jun",2015,"Q2_2015",0,25.8,35.3,12.3,26.3,17.9,7.7,22.9,7.4,13.3,23.3,16.2,100
"Lancashire","North West","2015-06-01","Jun",2015,"Q2_2015",0,24.4,19.1,13.8,8.3,7.2,23.1,9.6,5.4,12.2,10.4,11.2,100
"Leicestershire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",50,23.4,60,0,50,11,16.7,18.2,6,14,42.1,21.6,100
"Lincolnshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,23,12.5,20,0,6,0,8.6,4.2,11.7,16.7,18,100
"Merseyside","Mersey-Cheshire","2015-06-01","Jun",2015,"Q2_2015",0,23.5,14.3,17.4,37.5,6,5.6,21,10.7,16.2,27.5,14.9,100
"Metropolitan and City","Greater London","2015-06-01","Jun",2015,"Q2_2015",48.3,31.7,28.4,26.8,26.1,12.9,23.5,16.7,8.3,20.7,19.6,23.2,100
"Norfolk","East of England","2015-06-01","Jun",2015,"Q2_2015",0,27.8,0,15,0,7.7,42.9,19,5.4,11.2,6.7,17.2,100
"Northamptonshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,22.9,50,30,0,10.3,14.3,24.1,9.7,21.6,18.2,14.8,100
"Northumbria","North East","2015-06-01","Jun",2015,"Q2_2015",0,31.3,27.3,13,28.6,11.3,12.9,19.7,6.9,19.6,22.2,21.8,100
"North Wales","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",0,21.1,15.8,15.8,50,5.4,33.3,18.2,7.7,15.1,0,19.3,100
"North Yorkshire","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",33.3,11.5,0,5.9,50,5.4,17.6,15.4,9.6,8.7,8.7,7.5,100
"Nottinghamshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,26.5,28,7.1,20,5.2,6.7,28.2,6.7,10.3,15.5,11.2,100
"South Wales","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",0,23.5,30.8,16.1,18.8,5.6,10.7,8.5,6,13.1,9.5,8.1,100
"South Yorkshire","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",0,25.4,14.3,11.7,20,6.1,11.8,15.9,2.4,16.4,6.7,11.5,100
"Staffordshire","West Midlands","2015-06-01","Jun",2015,"Q2_2015",0,26.5,16.7,25,0,5.6,33.3,15.6,0,13.9,12.8,23.9,100
"Suffolk","East of England","2015-06-01","Jun",2015,"Q2_2015",0,19.8,33.3,30.8,10,7.5,20,27.9,3.9,13.2,6.3,11.5,100
"Surrey","South East","2015-06-01","Jun",2015,"Q2_2015",0,25,21.1,7.1,0,9.4,0,41.7,11.3,12.5,27.3,5.2,100
"Sussex","South East","2015-06-01","Jun",2015,"Q2_2015",0,23.9,26.2,6.9,0,8.1,18.5,22,7,17.2,24.3,15.8,100
"Thames Valley","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",0,29.4,32.5,30.5,27.3,8.7,8.1,12.5,5.9,19.3,31.4,15.1,100
"Warwickshire","West Midlands","2015-06-01","Jun",2015,"Q2_2015",0,22.1,16.7,0,25,7.2,0,25,0,8.3,15.4,18.8,100
"West Mercia","West Midlands","2015-06-01","Jun",2015,"Q2_2015",0,23,16.1,21.1,22.2,5.5,11.1,16.7,0,15.1,0,10.8,100
"West Midlands","West Midlands","2015-06-01","Jun",2015,"Q2_2015",37.5,24.8,25.9,18.3,12.8,6.4,19.2,16.2,4.9,10.7,10.1,17.8,100
"West Yorkshire","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",20,26.5,25,16.2,21.7,10,20.9,18.5,5.5,18.9,9.3,21.8,100
"Wiltshire","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",0,13.2,0,27.3,0,1,42.9,12.5,0,15.2,0,7.5,100
"Avon and Somerset","South West","2015-07-01","Jul",2015,"Q3_2015",0,22.9,25.7,3.2,11.1,6.1,14.3,12,9,16.2,22.4,16.9,100
"Bedfordshire","Thames and Chiltern","2015-07-01","Jul",2015,"Q3_2015",0,21.8,42.9,11.1,0,5.3,4.2,17.1,8.6,22.5,50,8.9,100
"Cambridgeshire","East of England","2015-07-01","Jul",2015,"Q3_2015",0,16.3,14.3,20,41.7,10.3,12.5,13,4.9,13.6,29.2,7.2,100
"Cheshire","Mersey-Cheshire","2015-07-01","Jul",2015,"Q3_2015",0,14.4,10,13.3,25,6.5,6.7,7.5,2.4,16.3,18.5,9.5,100
"Cleveland","North East","2015-07-01","Jul",2015,"Q3_2015",0,25,41.2,10,17.6,6.5,0,17.7,4.7,22.3,43.8,8.1,100
"Cumbria","North West","2015-07-01","Jul",2015,"Q3_2015",0,13.3,12.5,11.1,0,6.9,6.7,2.3,8.2,11.1,6.7,14.4,100
"Derbyshire","East Midlands","2015-07-01","Jul",2015,"Q3_2015",0,23,10.3,6.7,23.1,13,26.7,16.1,6.6,11.5,30,16.7,100
"Devon and Cornwall","South West","2015-07-01","Jul",2015,"Q3_2015",0,22.3,7.7,0,0,5.7,18.2,9,4.5,22.9,18.4,8.1,100
"Dorset","Oxfordshire","2015-07-01","Jul",2015,"Q3_2015",0,21.6,27.8,23.1,0,4.2,0,16.1,3.8,10.1,20,12.6,100
"Durham","North East","2015-07-01","Jul",2015,"Q3_2015",0,26.9,62.5,9.5,0,11.7,11.1,18.6,0,8.1,15.4,6.5,100
"Dyfed Powys","Cymru/Wales","2015-07-01","Jul",2015,"Q3_2015",0,29.6,43.8,22.2,0,3.3,16.7,15.6,4.7,13.2,25,19.4,100
"Essex","East of England","2015-07-01","Jul",2015,"Q3_2015",0,29.6,27.4,21.3,33.3,7.2,12.8,13.7,10,10.9,30.2,22.9,100
"Gloucestershire","South West","2015-07-01","Jul",2015,"Q3_2015",0,29.2,0,8.3,0,4.5,0,15.2,4,11.8,23.5,5.2,100
"GreaterManchester","North West","2015-07-01","Jul",2015,"Q3_2015",33.3,19.5,36.8,7.6,14.6,7.6,11.9,14.5,9.8,14.9,12.8,14.3,100
"Gwent","Cymru/Wales","2015-07-01","Jul",2015,"Q3_2015",0,23.4,25,40.9,20,5.1,25,16.7,9.7,14.9,53.3,6.6,100
"Hampshire","Oxfordshire","2015-07-01","Jul",2015,"Q3_2015",0,19.3,32.7,10.9,71.4,9,11.5,16.2,4,11.6,38.1,14.7,100
"Hertfordshire","Thames and Chiltern","2015-07-01","Jul",2015,"Q3_2015",0,23.1,22.2,15.2,16.7,9,25,44.1,7.8,19,19.4,14.9,100
"Humberside","Yorkshire and Humberside","2015-07-01","Jul",2015,"Q3_2015",0,13.9,23.4,3.4,50,5.9,23.5,0,5.3,10.8,5,15,100
