"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Cumbria","North West",2014-12-01,"Dec","2014","Q4_2014",0,0,85,15,100,0,77.8,22.2,100,0,96.1,3.9,100,0,92.9,7.1,91.7,8.3,92.9,7.1,95.1,4.9,89.4,10.6,100
"Derbyshire","East Midlands",2014-12-01,"Dec","2014","Q4_2014",0,0,80,20,85.7,14.3,68.4,31.6,60,40,94.3,5.7,77.8,22.2,87.5,12.5,86.5,13.5,86.8,13.2,84.8,15.2,88.3,11.7,100
"Devon and Cornwall","South West",2014-12-01,"Dec","2014","Q4_2014",100,0,77.9,22.1,100,0,77.8,22.2,100,0,91.4,8.6,100,0,88.5,11.5,95.8,4.2,87.9,12.1,86.9,13.1,89.9,10.1,100
"Dorset","Oxfordshire",2014-12-01,"Dec","2014","Q4_2014",100,0,79.4,20.6,77.8,22.2,100,0,100,0,95.8,4.2,81.8,18.2,88,12,97.2,2.8,76.9,23.1,75,25,91.1,8.9,100
"Durham","North East",2014-12-01,"Dec","2014","Q4_2014",0,0,81.6,18.4,76.9,23.1,84.8,15.2,0,0,87.2,12.8,100,0,83.3,16.7,88,12,76.4,23.6,76.5,23.5,95.5,4.5,0
"Dyfed Powys","Cymru/Wales",2014-12-01,"Dec","2014","Q4_2014",0,0,62.1,37.9,60,40,66.7,33.3,0,0,90.9,9.1,100,0,93.8,6.3,96.8,3.2,78.4,21.6,100,0,88.2,11.8,100
"Essex","East of England",2014-12-01,"Dec","2014","Q4_2014",50,50,79.3,20.7,77.1,22.9,86.7,13.3,91.7,8.3,93.7,6.3,80.8,19.2,78.8,21.2,89,11,81.5,18.5,84.6,15.4,88.2,11.8,100
"Gloucestershire","South West",2014-12-01,"Dec","2014","Q4_2014",0,0,77.3,22.7,60,40,87.5,12.5,100,0,92,8,100,0,92.9,7.1,96.3,3.7,84.6,15.4,73.3,26.7,96.6,3.4,100
"GreaterManchester","North West",2014-12-01,"Dec","2014","Q4_2014",66.7,33.3,81.1,18.9,62.3,37.7,89.1,10.9,89.7,10.3,94.6,5.4,86.8,13.2,93.3,6.7,95,5,92,8,88.2,11.8,85.2,14.8,100
"Gwent","Cymru/Wales",2014-12-01,"Dec","2014","Q4_2014",0,0,83.2,16.8,75,25,89.5,10.5,100,0,96.8,3.2,100,0,89.7,10.3,100,0,87.2,12.8,75,25,90.2,9.8,100
"Hampshire","Oxfordshire",2014-12-01,"Dec","2014","Q4_2014",100,0,73.8,26.3,70,30,84.8,15.2,75,25,94.1,5.9,90.9,9.1,87.8,12.2,94.9,5.1,88.8,11.2,89.7,10.3,89.7,10.3,100
"Hertfordshire","Thames and Chiltern",2014-12-01,"Dec","2014","Q4_2014",100,0,74.9,25.1,100,0,88.2,11.8,40,60,93,7,94.4,5.6,92.2,7.8,93.1,6.9,85.4,14.6,80,20,85.4,14.6,100
"Humberside","Yorkshire and Humberside",2014-12-01,"Dec","2014","Q4_2014",100,0,82.8,17.2,65.2,34.8,88.9,11.1,80,20,90,10,92.9,7.1,74.2,25.8,93.3,6.7,84.2,15.8,93.8,6.3,83.9,16.1,100
"Kent","South East",2014-12-01,"Dec","2014","Q4_2014",100,0,78,22,70.3,29.7,85,15,58.8,41.2,87.4,12.6,96.8,3.2,82.3,17.7,98,2,76.1,23.9,82.3,17.7,88.2,11.8,100
"Lancashire","North West",2014-12-01,"Dec","2014","Q4_2014",100,0,76.9,23.1,72.9,27.1,95.5,4.5,72.7,27.3,96.2,3.8,86.4,13.6,76.2,23.8,96.1,3.9,92.6,7.4,87.1,12.9,87.9,12.1,100
"Leicestershire","East Midlands",2014-12-01,"Dec","2014","Q4_2014",100,0,79.6,20.4,94.4,5.6,90.9,9.1,93.8,6.3,91.3,8.7,93.8,6.3,85,15,87.5,12.5,95.6,4.4,84.6,15.4,88.3,11.7,100
"Lincolnshire","East Midlands",2014-12-01,"Dec","2014","Q4_2014",0,0,83.3,16.7,100,0,77.8,22.2,66.7,33.3,89.6,10.4,100,0,89.5,10.5,100,0,90.6,9.4,75,25,82.6,17.4,100
"Merseyside","Mersey-Cheshire",2014-12-01,"Dec","2014","Q4_2014",0,0,77,23,80.6,19.4,81.3,18.8,90,10,90.5,9.5,93.3,6.7,83.6,16.4,94.8,5.2,86.9,13.1,87.7,12.3,91,9,100
"Metropolitan and City","Greater London",2014-12-01,"Dec","2014","Q4_2014",71.9,28.1,69.5,30.5,61.8,38.2,79.8,20.2,74.4,25.6,89.5,10.5,82.6,17.4,84.2,15.8,93.1,6.9,80.9,19.1,82.5,17.5,80.1,19.9,100
"Norfolk","East of England",2014-12-01,"Dec","2014","Q4_2014",0,0,81.9,18.1,88.9,11.1,88,12,80,20,88.7,11.3,85.7,14.3,83,17,94.5,5.5,89.3,10.7,88.2,11.8,82.5,17.5,100
"Northamptonshire","East Midlands",2014-12-01,"Dec","2014","Q4_2014",100,0,66.7,33.3,66.7,33.3,100,0,100,0,86.6,13.4,71.4,28.6,77.8,22.2,88.2,11.8,78.6,21.4,89.5,10.5,89.5,10.5,100
"Northumbria","North East",2014-12-01,"Dec","2014","Q4_2014",100,0,71.8,28.2,56.3,43.8,86.2,13.8,80,20,87.1,12.9,86.7,13.3,76.2,23.8,85,15,78.9,21.1,80,20,76.3,23.7,100
"North Wales","Cymru/Wales",2014-12-01,"Dec","2014","Q4_2014",0,0,81.5,18.5,57.1,42.9,100,0,100,0,96.8,3.2,100,0,90.2,9.8,96.4,3.6,89.3,10.7,88.9,11.1,88.8,11.2,100
"North Yorkshire","Yorkshire and Humberside",2014-12-01,"Dec","2014","Q4_2014",0,0,72.4,27.6,100,0,81.3,18.8,80,20,83.4,16.6,82.4,17.6,86.2,13.8,94.6,5.4,81.6,18.4,84.6,15.4,88.1,11.9,100
"Nottinghamshire","East Midlands",2014-12-01,"Dec","2014","Q4_2014",33.3,66.7,72.9,27.1,66.7,33.3,88.5,11.5,94.4,5.6,95.5,4.5,87.5,12.5,86.5,13.5,93.3,6.7,87.1,12.9,83.1,16.9,92.8,7.2,100
"South Wales","Cymru/Wales",2014-12-01,"Dec","2014","Q4_2014",0,0,73,27,62.9,37.1,94.6,5.4,83.3,16.7,94.8,5.2,78.9,21.1,90.3,9.7,97.2,2.8,87.5,12.5,96.6,3.4,87.3,12.7,100
"South Yorkshire","Yorkshire and Humberside",2014-12-01,"Dec","2014","Q4_2014",100,0,80.1,19.9,80,20,93.3,6.7,84.2,15.8,92.6,7.4,100,0,91.7,8.3,92.3,7.7,88.8,11.2,88.1,11.9,93.5,6.5,100
"Staffordshire","West Midlands",2014-12-01,"Dec","2014","Q4_2014",100,0,69.6,30.4,60,40,80.5,19.5,87.5,12.5,91.2,8.8,100,0,79.4,20.6,90.5,9.5,86.1,13.9,88.9,11.1,83,17,100
"Suffolk","East of England",2014-12-01,"Dec","2014","Q4_2014",100,0,86.6,13.4,81.8,18.2,100,0,100,0,92.5,7.5,87.5,12.5,94.4,5.6,91.4,8.6,93,7,75,25,93.1,6.9,100
"Surrey","South East",2014-12-01,"Dec","2014","Q4_2014",0,0,78.4,21.6,66.7,33.3,92.9,7.1,100,0,89.1,10.9,80,20,95,5,90.8,9.2,80,20,82.6,17.4,88.4,11.6,100
"Sussex","South East",2014-12-01,"Dec","2014","Q4_2014",0,0,73.4,26.6,78.6,21.4,85.7,14.3,83.3,16.7,90.4,9.6,88.2,11.8,83.9,16.1,96.8,3.2,78,22,75.8,24.2,90,10,100
"Thames Valley","Thames and Chiltern",2014-12-01,"Dec","2014","Q4_2014",100,0,70.7,29.3,69.2,30.8,86.8,13.2,94.4,5.6,89.4,10.6,77.4,22.6,83.8,16.2,92.3,7.7,84.5,15.5,67.6,32.4,86.6,13.4,100
"Warwickshire","West Midlands",2014-12-01,"Dec","2014","Q4_2014",0,0,86.3,13.7,75,25,96.7,3.3,0,0,94.4,5.6,100,0,84.6,15.4,92.9,7.1,93.3,6.7,70,30,73.7,26.3,100
"West Mercia","West Midlands",2014-12-01,"Dec","2014","Q4_2014",100,0,80.6,19.4,77.8,22.2,96.3,3.7,87.5,12.5,93.4,6.6,60,40,82.6,17.4,100,0,98.7,1.3,86.2,13.8,87.3,12.7,100
"West Midlands","West Midlands",2014-12-01,"Dec","2014","Q4_2014",100,0,74.3,25.7,73.1,26.9,86,14,83.8,16.2,92.3,7.7,85,15,88.6,11.4,93.5,6.5,76.5,23.5,72.1,27.9,87.4,12.6,100
"West Yorkshire","Yorkshire and Humberside",2014-12-01,"Dec","2014","Q4_2014",100,0,71.9,28.1,81.3,18.7,91.7,8.3,69.8,30.2,89.5,10.5,68,32,81.4,18.6,93.5,6.5,83.6,16.4,72.9,27.1,81.9,18.1,100
"Wiltshire","Oxfordshire",2014-12-01,"Dec","2014","Q4_2014",0,0,80.2,19.8,100,0,75,25,0,100,93.4,6.6,100,0,90.6,9.4,95.5,4.5,93.6,6.4,71.4,28.6,89.9,10.1,100
"Avon and Somerset","South West",2015-01-01,"Jan","2015","Q1_2015",0,0,79.4,20.6,69,31,83.9,16.1,100,0,92.1,7.9,86.2,13.8,91.8,8.2,92.9,7.1,82.7,17.3,83.3,16.7,80.4,19.6,100
"Bedfordshire","Thames and Chiltern",2015-01-01,"Jan","2015","Q1_2015",100,0,74.5,25.5,84.6,15.4,75,25,100,0,83.3,16.7,100,0,71.4,28.6,91.7,8.3,87.5,12.5,85.7,14.3,82.4,17.6,100
"Cambridgeshire","East of England",2015-01-01,"Jan","2015","Q1_2015",0,0,88.7,11.3,100,0,50,50,16.7,83.3,92.6,7.4,100,0,75,25,96,4,88.9,11.1,60,40,92.8,7.2,100
"Cheshire","Mersey-Cheshire",2015-01-01,"Jan","2015","Q1_2015",100,0,82.6,17.4,90.5,9.5,96.4,3.6,88.9,11.1,90.4,9.6,72,28,93,7,95.2,4.8,87.1,12.9,83.6,16.4,89.2,10.8,100
"Cleveland","North East",2015-01-01,"Jan","2015","Q1_2015",100,0,79.3,20.7,66.7,33.3,76.3,23.7,85.7,14.3,91.3,8.7,77.8,22.2,74.5,25.5,97.5,2.5,71.1,28.9,61.1,38.9,86.3,13.8,100
"Cumbria","North West",2015-01-01,"Jan","2015","Q1_2015",0,100,86.6,13.4,90,10,100,0,0,100,91.8,8.2,100,0,88.9,11.1,100,0,79.5,20.5,86.6,13.4,85,15,100
"Derbyshire","East Midlands",2015-01-01,"Jan","2015","Q1_2015",100,0,75,25,66.7,33.3,80,20,58.3,41.7,94,6,100,0,83.9,16.1,92,8,87.5,12.5,75,25,92.3,7.7,100
"Devon and Cornwall","South West",2015-01-01,"Jan","2015","Q1_2015",100,0,74.3,25.7,87.5,12.5,89.3,10.7,100,0,87.3,12.7,100,0,88.1,11.9,97.1,2.9,81.3,18.8,86.2,13.8,91,9,100
"Dorset","Oxfordshire",2015-01-01,"Jan","2015","Q1_2015",0,0,70.6,29.4,77.8,22.2,66.7,33.3,88.9,11.1,96.9,3.1,100,0,82.1,17.9,97,3,91.5,8.5,100,0,87.1,12.9,100
"Durham","North East",2015-01-01,"Jan","2015","Q1_2015",100,0,77.6,22.4,63.6,36.4,81.5,18.5,75,25,86.3,13.8,100,0,94.8,5.2,93.3,6.7,84.6,15.4,80,20,91.7,8.3,100
"Dyfed Powys","Cymru/Wales",2015-01-01,"Jan","2015","Q1_2015",100,0,81.1,18.9,62.5,37.5,90,10,0,0,90.9,9.1,75,25,80,20,97.2,2.8,90.3,9.7,100,0,87.2,12.8,100
"Essex","East of England",2015-01-01,"Jan","2015","Q1_2015",100,0,79.7,20.3,65.3,34.7,88,12,53.8,46.2,94.6,5.4,92,8,80.9,19.1,94.7,5.3,93.3,6.7,82.6,17.4,85.6,14.4,100
"Gloucestershire","South West",2015-01-01,"Jan","2015","Q1_2015",100,0,79.2,20.8,66.7,33.3,92.3,7.7,0,0,92,8,88.9,11.1,95.8,4.2,97.4,2.6,93.8,6.3,76.9,23.1,92.1,7.9,100
"GreaterManchester","North West",2015-01-01,"Jan","2015","Q1_2015",100,0,78.9,21.1,71.8,28.2,88.3,11.7,89.5,10.5,92.9,7.1,85.5,14.5,90.2,9.8,95.4,4.6,88.4,11.6,75,25,86.6,13.4,100
"Gwent","Cymru/Wales",2015-01-01,"Jan","2015","Q1_2015",100,0,79.7,20.3,77.8,22.2,77.3,22.7,60,40,94.3,5.7,100,0,89.8,10.2,93.5,6.5,89.9,10.1,50,50,87.8,12.2,100
"Hampshire","Oxfordshire",2015-01-01,"Jan","2015","Q1_2015",0,0,78.7,21.3,79.2,20.8,87.9,12.1,100,0,89.6,10.4,85.3,14.7,89.9,10.1,92,8,85.1,14.9,80.8,19.2,85.6,14.4,100
"Hertfordshire","Thames and Chiltern",2015-01-01,"Jan","2015","Q1_2015",0,0,75.9,24.1,90,10,67.9,32.1,68.8,31.3,90.9,9.1,82.1,17.9,86,14,91,9,87.3,12.7,68.8,31.3,86.5,13.5,100
"Humberside","Yorkshire and Humberside",2015-01-01,"Jan","2015","Q1_2015",25,75,83.9,16.1,80.8,19.2,78.6,21.4,83.3,16.7,94.5,5.5,88.9,11.1,80.6,19.4,97.1,2.9,89.2,10.8,91.7,8.3,87.5,12.5,100
"Kent","South East",2015-01-01,"Jan","2015","Q1_2015",100,0,70.2,29.8,75.8,24.2,88.1,11.9,83.3,16.7,86.8,13.2,72.2,27.8,76.3,23.7,93.8,6.3,80.4,19.6,75,25,83.5,16.5,100
"Lancashire","North West",2015-01-01,"Jan","2015","Q1_2015",0,0,78.4,21.6,85.3,14.7,81.1,18.9,86.8,13.2,93.1,6.9,84.6,15.4,85.6,14.4,97.2,2.8,88.6,11.4,88.1,11.9,89.1,10.9,100
"Leicestershire","East Midlands",2015-01-01,"Jan","2015","Q1_2015",100,0,77.3,22.7,83.3,16.7,77.8,22.2,84.6,15.4,92.9,7.1,77.8,22.2,87.5,12.5,90.7,9.3,88.9,11.1,86.2,13.8,86.5,13.5,100
"Lincolnshire","East Midlands",2015-01-01,"Jan","2015","Q1_2015",100,0,81,19,85.7,14.3,90.9,9.1,100,0,92.4,7.6,75,25,93.3,6.7,93.5,6.5,92.8,7.2,61.5,38.5,89.9,10.1,100
"Merseyside","Mersey-Cheshire",2015-01-01,"Jan","2015","Q1_2015",100,0,75.1,24.9,83.9,16.1,97.9,2.1,81.5,18.5,93.2,6.8,86.7,13.3,78.6,21.4,95.3,4.7,91.3,8.7,82.9,17.1,92.2,7.8,100
"Metropolitan and City","Greater London",2015-01-01,"Jan","2015","Q1_2015",50,50,67.6,32.4,67.4,32.6,78.9,21.1,69.1,30.9,89.4,10.6,79.9,20.1,84,16,93.2,6.8,82.4,17.6,79.9,20.1,78.5,21.5,100
"Norfolk","East of England",2015-01-01,"Jan","2015","Q1_2015",0,0,78.8,21.2,84.6,15.4,92.3,7.7,100,0,87.6,12.4,78.6,21.4,85.1,14.9,100,0,88.5,11.5,56.5,43.5,86.5,13.5,100
"Northamptonshire","East Midlands",2015-01-01,"Jan","2015","Q1_2015",0,0,64.3,35.7,81.3,18.8,71.4,28.6,55.6,44.4,91.4,8.6,80,20,58.3,41.7,92.2,7.8,85.4,14.6,76.9,23.1,85.4,14.6,100
"Northumbria","North East",2015-01-01,"Jan","2015","Q1_2015",100,0,67.5,32.5,60.7,39.3,89.5,10.5,80,20,87.6,12.4,90.9,9.1,77.5,22.5,84.7,15.3,82.3,17.7,67.8,32.2,71.3,28.7,100
"North Wales","Cymru/Wales",2015-01-01,"Jan","2015","Q1_2015",0,0,77.4,22.6,66.7,33.3,94.4,5.6,100,0,95.7,4.3,100,0,94.3,5.7,96.3,3.7,95.9,4.1,86.7,13.3,92.4,7.6,100
"North Yorkshire","Yorkshire and Humberside",2015-01-01,"Jan","2015","Q1_2015",100,0,81.5,18.5,100,0,61.5,38.5,100,0,90.2,9.8,100,0,86.5,13.5,94.3,5.7,87.6,12.4,72,28,90.9,9.1,100
"Nottinghamshire","East Midlands",2015-01-01,"Jan","2015","Q1_2015",0,0,79.8,20.2,82.4,17.6,80.6,19.4,33.3,66.7,92.9,7.1,92.3,7.7,88.2,11.8,95.1,4.9,82.1,17.9,82.6,17.4,88.8,11.2,100
"South Wales","Cymru/Wales",2015-01-01,"Jan","2015","Q1_2015",0,0,73.3,26.7,69.2,30.8,92.3,7.7,100,0,94.1,5.9,88.9,11.1,86.2,13.8,96.1,3.9,83.5,16.5,81.3,18.8,92.8,7.2,100
"South Yorkshire","Yorkshire and Humberside",2015-01-01,"Jan","2015","Q1_2015",100,0,70.8,29.2,70,30,78,22,92.3,7.7,97.2,2.8,100,0,91.7,8.3,92.8,7.2,94.3,5.7,89.1,10.9,89.2,10.8,100
"Staffordshire","West Midlands",2015-01-01,"Jan","2015","Q1_2015",0,0,72.1,27.9,69.6,30.4,78.9,21.1,66.7,33.3,90.4,9.6,92.3,7.7,88.2,11.8,85.5,14.5,74,26,92.5,7.5,81.6,18.4,100
"Suffolk","East of England",2015-01-01,"Jan","2015","Q1_2015",100,0,87.3,12.7,64.3,35.7,84.6,15.4,100,0,95.1,4.9,100,0,84.6,15.4,95.6,4.4,89.1,10.9,93.3,6.7,85.7,14.3,100
"Surrey","South East",2015-01-01,"Jan","2015","Q1_2015",0,0,71.8,28.2,42.9,57.1,88.9,11.1,100,0,84.6,15.4,66.7,33.3,78.1,21.9,98.1,1.9,89.8,10.2,67.2,32.8,89.4,10.6,100
"Sussex","South East",2015-01-01,"Jan","2015","Q1_2015",0,0,73.6,26.4,66.7,33.3,80.8,19.2,100,0,93.5,6.5,95,5,86.2,13.8,92.5,7.5,76.5,23.5,72.3,27.7,90.6,9.4,100
"Thames Valley","Thames and Chiltern",2015-01-01,"Jan","2015","Q1_2015",0,0,69.7,30.3,60.4,39.6,72.5,27.5,77.3,22.7,90.4,9.6,96.6,3.4,84.9,15.1,92.4,7.6,82.1,17.9,69,31,85.3,14.7,100
"Warwickshire","West Midlands",2015-01-01,"Jan","2015","Q1_2015",0,0,80.8,19.2,100,0,71.4,28.6,71.4,28.6,87.7,12.3,100,0,93.3,6.7,93.3,6.7,85.7,14.3,83.9,16.1,78.6,21.4,100
"West Mercia","West Midlands",2015-01-01,"Jan","2015","Q1_2015",100,0,74.1,25.9,79.4,20.6,94.4,5.6,100,0,92.3,7.7,80,20,83.8,16.2,96.9,3.1,86.3,13.7,91.9,8.1,88.2,11.8,100
"West Midlands","West Midlands",2015-01-01,"Jan","2015","Q1_2015",50,50,72,28,72.9,27.1,76,24,77.8,22.2,90.9,9.1,84.4,15.6,84.2,15.8,89,11,85.9,14.1,85.3,14.7,83.9,16.1,100
"West Yorkshire","Yorkshire and Humberside",2015-01-01,"Jan","2015","Q1_2015",100,0,75.5,24.5,74.3,25.7,92.5,7.5,94.1,5.9,90.6,9.4,79.4,20.6,79,21,93,7,79.5,20.5,84.1,15.9,78.3,21.7,100
"Wiltshire","Oxfordshire",2015-01-01,"Jan","2015","Q1_2015",0,0,86.3,13.7,80,20,100,0,100,0,91.7,8.3,80,20,87.5,12.5,95.2,4.8,75,25,100,0,88.7,11.3,100
"Avon and Somerset","South West",2015-02-01,"Feb","2015","Q1_2015",0,0,80.5,19.5,70.6,29.4,84.8,15.2,95.5,4.5,95.8,4.2,60,40,82.1,17.9,91.5,8.5,84.3,15.7,79.2,20.8,76.4,23.6,100
"Bedfordshire","Thames and Chiltern",2015-02-01,"Feb","2015","Q1_2015",0,0,75,25,100,0,90,10,88.9,11.1,90.9,9.1,100,0,90.9,9.1,95,5,86.2,13.8,100,0,87.5,12.5,100
"Cambridgeshire","East of England",2015-02-01,"Feb","2015","Q1_2015",100,0,79.6,20.4,93.3,6.7,100,0,66.7,33.3,92.3,7.7,100,0,76.9,23.1,100,0,90.2,9.8,33.3,66.7,87.5,12.5,100
"Cheshire","Mersey-Cheshire",2015-02-01,"Feb","2015","Q1_2015",100,0,90,10,84.6,15.4,93.9,6.1,100,0,93.1,6.9,90.9,9.1,85.4,14.6,92.5,7.5,91.3,8.7,95.1,4.9,91.1,8.9,100
"Cleveland","North East",2015-02-01,"Feb","2015","Q1_2015",0,0,76.8,23.2,62.5,37.5,89.7,10.3,87.5,12.5,92.5,7.5,100,0,88.3,11.7,95.5,4.5,79,21,86.7,13.3,95.5,4.5,100
"Cumbria","North West",2015-02-01,"Feb","2015","Q1_2015",0,0,87.9,12.1,50,50,100,0,33.3,66.7,95.5,4.5,50,50,93.1,6.9,100,0,93.4,6.6,83.8,16.2,90.3,9.7,100
"Derbyshire","East Midlands",2015-02-01,"Feb","2015","Q1_2015",100,0,75.1,24.9,75,25,79.2,20.8,100,0,92,8,92.9,7.1,86.7,13.3,94.3,5.7,85.1,14.9,78.2,21.8,88.1,11.9,100
"Devon and Cornwall","South West",2015-02-01,"Feb","2015","Q1_2015",0,100,69.8,30.2,92.9,7.1,88.2,11.8,100,0,93.5,6.5,85.7,14.3,78.1,21.9,92.2,7.8,89.6,10.4,80,20,86.6,13.4,100
"Dorset","Oxfordshire",2015-02-01,"Feb","2015","Q1_2015",0,0,73.3,26.7,54.5,45.5,60,40,66.7,33.3,90.3,9.7,100,0,87.1,12.9,100,0,79.1,20.9,83.3,16.7,91.1,8.9,100
"Durham","North East",2015-02-01,"Feb","2015","Q1_2015",0,0,73.6,26.4,50,50,66.7,33.3,100,0,87.4,12.6,85.7,14.3,79.7,20.3,84,16,88.1,11.9,54.5,45.5,92.4,7.6,100
"Dyfed Powys","Cymru/Wales",2015-02-01,"Feb","2015","Q1_2015",0,0,66,34,80,20,66.7,33.3,0,0,94,6,100,0,88.2,11.8,96.3,3.7,78.8,21.2,50,50,80.3,19.7,100
"Essex","East of England",2015-02-01,"Feb","2015","Q1_2015",100,0,81.4,18.6,56.3,43.8,91.3,8.7,72.7,27.3,91.8,8.2,90.5,9.5,81.5,18.5,97.8,2.2,81.3,18.8,95.7,4.3,88.8,11.2,100
"Gloucestershire","South West",2015-02-01,"Feb","2015","Q1_2015",100,0,72.7,27.3,75,25,82.4,17.6,100,0,91.7,8.3,69.6,30.4,83.3,16.7,94.6,5.4,63.6,36.4,79.3,20.7,90,10,100
"GreaterManchester","North West",2015-02-01,"Feb","2015","Q1_2015",100,0,81,19,64.3,35.7,87.6,12.4,90.5,9.5,95.4,4.6,86.7,13.3,87.7,12.3,93.1,6.9,88,12,76.3,23.7,85.7,14.3,100
"Gwent","Cymru/Wales",2015-02-01,"Feb","2015","Q1_2015",50,50,79,21,88.9,11.1,92,8,80,20,95,5,80,20,83.3,16.7,94.4,5.6,85,15,75,25,85.4,14.6,100
"Hampshire","Oxfordshire",2015-02-01,"Feb","2015","Q1_2015",100,0,74.1,25.9,71,29,83.7,16.3,71.4,28.6,91.6,8.4,81.3,18.8,83.1,16.9,93.1,6.9,84.8,15.2,58.6,41.4,86.3,13.7,100
"Hertfordshire","Thames and Chiltern",2015-02-01,"Feb","2015","Q1_2015",0,0,73.2,26.8,66.7,33.3,77.8,22.2,83.3,16.7,90.2,9.8,90,10,87.9,12.1,91.9,8.1,83.9,16.1,93.8,6.3,84.8,15.2,100
"Humberside","Yorkshire and Humberside",2015-02-01,"Feb","2015","Q1_2015",0,100,77,23,81.1,18.9,87.9,12.1,100,0,91.8,8.2,83.3,16.7,88.7,11.3,94,6,87.3,12.7,81.3,18.8,83.3,16.7,100
"Kent","South East",2015-02-01,"Feb","2015","Q1_2015",100,0,73.7,26.3,63.6,36.4,78,22,78.6,21.4,88.1,11.9,80.6,19.4,81.7,18.3,94.3,5.7,82.1,17.9,82.9,17.1,88.8,11.2,100
"Lancashire","North West",2015-02-01,"Feb","2015","Q1_2015",50,50,77.5,22.5,73.8,26.2,85.3,14.7,85.2,14.8,94.2,5.8,83.3,16.7,82.7,17.3,93.3,6.7,92.6,7.4,89.2,10.8,85.2,14.8,100
"Leicestershire","East Midlands",2015-02-01,"Feb","2015","Q1_2015",0,0,79.4,20.6,93.8,6.3,88,12,66.7,33.3,95.9,4.1,85.7,14.3,85.4,14.6,100,0,90.7,9.3,89.5,10.5,88.5,11.5,100
"Lincolnshire","East Midlands",2015-02-01,"Feb","2015","Q1_2015",100,0,80.2,19.8,76.9,23.1,68.8,31.3,75,25,91.2,8.8,92.3,7.7,88.5,11.5,100,0,84.7,15.3,76,24,80.5,19.5,100
"Merseyside","Mersey-Cheshire",2015-02-01,"Feb","2015","Q1_2015",100,0,76.2,23.8,65.3,34.7,88.6,11.4,78.9,21.1,94.5,5.5,96.9,3.1,92.7,7.3,93.3,6.7,86.4,13.6,83.5,16.5,91,9,100
"Metropolitan and City","Greater London",2015-02-01,"Feb","2015","Q1_2015",93.3,6.7,68.1,31.9,60.6,39.4,81,19,79.1,20.9,90,10,87.2,12.8,84.6,15.4,94.6,5.4,82.6,17.4,80.9,19.1,78.3,21.7,100
"Norfolk","East of England",2015-02-01,"Feb","2015","Q1_2015",0,0,71.3,28.7,86.7,13.3,71.4,28.6,33.3,66.7,93.5,6.5,87.5,12.5,80.7,19.3,96.1,3.9,91.8,8.2,85.7,14.3,82.4,17.6,100
"Northamptonshire","East Midlands",2015-02-01,"Feb","2015","Q1_2015",0,0,79.5,20.5,76.9,23.1,61.9,38.1,0,0,90.8,9.2,75,25,79.4,20.6,97.5,2.5,76.9,23.1,78.9,21.1,90.3,9.7,100
"Northumbria","North East",2015-02-01,"Feb","2015","Q1_2015",100,0,75.4,24.6,72.2,27.8,83.1,16.9,72.2,27.8,89.8,10.2,88.5,11.5,75.5,24.5,88.4,11.6,73.2,26.8,84.3,15.7,81.1,18.9,100
"North Wales","Cymru/Wales",2015-02-01,"Feb","2015","Q1_2015",100,0,81.3,18.7,69.6,30.4,88,12,75,25,95.2,4.8,100,0,81.8,18.2,92.2,7.8,95.6,4.4,80,20,87.6,12.4,100
"North Yorkshire","Yorkshire and Humberside",2015-02-01,"Feb","2015","Q1_2015",100,0,76.7,23.3,100,0,95.7,4.3,100,0,96,4,87.5,12.5,89.5,10.5,97.2,2.8,90.1,9.9,77.8,22.2,88.9,11.1,100
"Nottinghamshire","East Midlands",2015-02-01,"Feb","2015","Q1_2015",100,0,75.6,24.4,85.7,14.3,62.2,37.8,69.2,30.8,89.8,10.2,85,15,76.8,23.2,97.6,2.4,87.6,12.4,83.6,16.4,87.3,12.7,100
"South Wales","Cymru/Wales",2015-02-01,"Feb","2015","Q1_2015",100,0,74.2,25.8,66.7,33.3,86.3,13.7,92.3,7.7,94,6,94.4,5.6,85.2,14.8,96,4,86.5,13.5,93.3,6.7,89.3,10.7,100
"South Yorkshire","Yorkshire and Humberside",2015-02-01,"Feb","2015","Q1_2015",100,0,77.5,22.5,100,0,96.1,3.9,62.5,37.5,90.4,9.6,91.7,8.3,84.2,15.8,93.5,6.5,85.3,14.7,75,25,88.7,11.3,100
"Staffordshire","West Midlands",2015-02-01,"Feb","2015","Q1_2015",0,0,74.4,25.6,66.7,33.3,86.1,13.9,77.8,22.2,90.3,9.7,93.3,6.7,75.5,24.5,95.7,4.3,87.2,12.8,80.8,19.2,79.5,20.5,100
"Suffolk","East of England",2015-02-01,"Feb","2015","Q1_2015",0,100,79.7,20.3,85.7,14.3,75,25,40,60,95.7,4.3,100,0,95.5,4.5,100,0,90.4,9.6,90,10,79.8,20.2,100
